ending1,ending2,labels,startphrase,instruction_column
Hidupku terkungkung.,Hidupku bebas.,1,Hidupku bagai burung yang terbang di angkasa.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hidupku bagai burung yang terbang di angkasa., Options: 0) Hidupku terkungkung. 1) Hidupku bebas."
Kecepatan lari atlet maraton asal Indonesia cepat.,Kecepatan lari atlet maraton asal Indonesia lambat.,0,Kecepatan lari atlet maraton asal Indonesia seperti citah yang memburu mangsa.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kecepatan lari atlet maraton asal Indonesia seperti citah yang memburu mangsa., Options: 0) Kecepatan lari atlet maraton asal Indonesia cepat. 1) Kecepatan lari atlet maraton asal Indonesia lambat."
Kecepatan lari atlet maraton asal Indonesia cepat.,Kecepatan lari atlet maraton asal Indonesia lambat.,1,Kecepatan lari atlet maraton asal Indonesia seperti siput yang kelaparan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kecepatan lari atlet maraton asal Indonesia seperti siput yang kelaparan., Options: 0) Kecepatan lari atlet maraton asal Indonesia cepat. 1) Kecepatan lari atlet maraton asal Indonesia lambat."
Kasur ini keras.,Kasur ini empuk.,0,Kasur ini bagai beton.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kasur ini bagai beton., Options: 0) Kasur ini keras. 1) Kasur ini empuk."
Kasur ini keras.,Kasur ini empuk.,1,Kasur ini bagai bolu.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kasur ini bagai bolu., Options: 0) Kasur ini keras. 1) Kasur ini empuk."
Matanya sipit.,Matanya bulat.,0,Matanya seperti daun bambu.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Matanya seperti daun bambu., Options: 0) Matanya sipit. 1) Matanya bulat."
Matanya sipit.,Matanya bulat.,1,Matanya seperti bola pingpong.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Matanya seperti bola pingpong., Options: 0) Matanya sipit. 1) Matanya bulat."
Mentalnya kuat.,Mentalnya lemah.,0,Mentalnya sekuat baja.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mentalnya sekuat baja., Options: 0) Mentalnya kuat. 1) Mentalnya lemah."
Mentalnya kuat.,Mentalnya lemah.,1,Mentalnya sekuat kerupuk.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mentalnya sekuat kerupuk., Options: 0) Mentalnya kuat. 1) Mentalnya lemah."
"Berada di dekatmu, hatiku gelisah.","Berada di dekatmu, hatiku tenang.",0,"Berada di dekatmu, hatiku bagai ombak dalam lautan.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Berada di dekatmu, hatiku bagai ombak dalam lautan., Options: 0) Berada di dekatmu, hatiku gelisah. 1) Berada di dekatmu, hatiku tenang."
"Berada di dekatmu, hatiku gelisah.","Berada di dekatmu, hatiku tenang.",1,"Berada di dekatmu, hatiku bagai bayi dalam dekapan ibu.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Berada di dekatmu, hatiku bagai bayi dalam dekapan ibu., Options: 0) Berada di dekatmu, hatiku gelisah. 1) Berada di dekatmu, hatiku tenang."
Tubuhnya kuat.,Tubuhnya lemah.,0,Tubuhnya seperti tembok beton.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tubuhnya seperti tembok beton., Options: 0) Tubuhnya kuat. 1) Tubuhnya lemah."
Tubuhnya kuat.,Tubuhnya lemah.,1,Tubuhnya seperti ranting pohon.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tubuhnya seperti ranting pohon., Options: 0) Tubuhnya kuat. 1) Tubuhnya lemah."
Dia selalu ceria.,Dia  selalu murung.,0,Dia bagaikan Malaikat yang membawa segudang kebahagiaan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia bagaikan Malaikat yang membawa segudang kebahagiaan., Options: 0) Dia selalu ceria. 1) Dia  selalu murung."
Dia selalu ceria.,Dia  selalu murung.,1,Dia bagaikan  padang pasir yang gersang dan tandus.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia bagaikan  padang pasir yang gersang dan tandus., Options: 0) Dia selalu ceria. 1) Dia  selalu murung."
Mengambil pendidikan S3 menderita.,Mengambil pendidikan S3 menyenangkan.,0,Mengambil pendidikan S3 ibarat berlari di atas hamparan beling.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mengambil pendidikan S3 ibarat berlari di atas hamparan beling., Options: 0) Mengambil pendidikan S3 menderita. 1) Mengambil pendidikan S3 menyenangkan."
Mengambil pendidikan S3 menderita.,Mengambil pendidikan S3 menyenangkan.,1,Mengambil pendidikan S3 ibarat berjalan di taman bunga.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mengambil pendidikan S3 ibarat berjalan di taman bunga., Options: 0) Mengambil pendidikan S3 menderita. 1) Mengambil pendidikan S3 menyenangkan."
Pergi ke Bandung namun tidak wisata kuliner ada yang kurang.,Pergi ke Bandung namun tidak wisata kuliner tidak ada yang salah.,0,Pergi ke Bandung namun tidak wisata kuliner bagai makan tanpa minum.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pergi ke Bandung namun tidak wisata kuliner bagai makan tanpa minum., Options: 0) Pergi ke Bandung namun tidak wisata kuliner ada yang kurang. 1) Pergi ke Bandung namun tidak wisata kuliner tidak ada yang salah."
Pergi ke Bandung namun tidak wisata kuliner ada yang kurang.,Pergi ke Bandung namun tidak wisata kuliner tidak ada yang salah.,1,Pergi ke Bandung namun tidak wisata kuliner bagai berlari menggunakan sepatu.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pergi ke Bandung namun tidak wisata kuliner bagai berlari menggunakan sepatu., Options: 0) Pergi ke Bandung namun tidak wisata kuliner ada yang kurang. 1) Pergi ke Bandung namun tidak wisata kuliner tidak ada yang salah."
Budi makan rakus.,Budi makan irit.,0,Budi makan seolah-olah dia akan mati esok.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Budi makan seolah-olah dia akan mati esok., Options: 0) Budi makan rakus. 1) Budi makan irit."
Budi makan rakus.,Budi makan irit.,1,Budi makan seolah-olah itu makanan terakhir yang dimilikinya.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Budi makan seolah-olah itu makanan terakhir yang dimilikinya., Options: 0) Budi makan rakus. 1) Budi makan irit."
Dito mengendarai mobil sembarangan dan urakan.,Dito mengendarai mobil hati-hati.,0,Dito mengendarai mobil seolah-olah dia anak pemilik jalan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dito mengendarai mobil seolah-olah dia anak pemilik jalan., Options: 0) Dito mengendarai mobil sembarangan dan urakan. 1) Dito mengendarai mobil hati-hati."
Dito mengendarai mobil sembarangan dan urakan.,Dito mengendarai mobil hati-hati.,1,Dito mengendarai mobil seolah-olah cicilan mobil belum lunas.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dito mengendarai mobil seolah-olah cicilan mobil belum lunas., Options: 0) Dito mengendarai mobil sembarangan dan urakan. 1) Dito mengendarai mobil hati-hati."
Mencari kerja di tengah pandemi sulit.,Mencari kerja di tengah pandemi mudah.,0,Mencari kerja di tengah pandemi bak mengajari ayam memanjat pohon.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mencari kerja di tengah pandemi bak mengajari ayam memanjat pohon., Options: 0) Mencari kerja di tengah pandemi sulit. 1) Mencari kerja di tengah pandemi mudah."
Mencari kerja di tengah pandemi sulit.,Mencari kerja di tengah pandemi mudah.,1,Mencari kerja di tengah pandemi bak mengajari burung beo bernyanyi.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mencari kerja di tengah pandemi bak mengajari burung beo bernyanyi., Options: 0) Mencari kerja di tengah pandemi sulit. 1) Mencari kerja di tengah pandemi mudah."
Rasa penasaranku tinggi.,Rasa penasaranku rendah.,0,Rasa penasaranku setara dengan burj khalifa.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Rasa penasaranku setara dengan burj khalifa., Options: 0) Rasa penasaranku tinggi. 1) Rasa penasaranku rendah."
Rasa penasaranku tinggi.,Rasa penasaranku rendah.,1,Rasa penasaranku setara dengan kurcaci.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Rasa penasaranku setara dengan kurcaci., Options: 0) Rasa penasaranku tinggi. 1) Rasa penasaranku rendah."
Keluargaku berharga.,Keluargaku beban.,0,Keluargaku adalah hartaku.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Keluargaku adalah hartaku., Options: 0) Keluargaku berharga. 1) Keluargaku beban."
Keluargaku berharga.,Keluargaku beban.,1,Keluargaku adalah utangku.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Keluargaku adalah utangku., Options: 0) Keluargaku berharga. 1) Keluargaku beban."
Kasihku padamu sementara.,Kasihku padamu abadi.,0,Kasihku padamu bagai kayu berselimut api.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kasihku padamu bagai kayu berselimut api., Options: 0) Kasihku padamu sementara. 1) Kasihku padamu abadi."
Kasihku padamu sementara.,Kasihku padamu abadi.,1,Kasihku padamu bagai panasnya api.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kasihku padamu bagai panasnya api., Options: 0) Kasihku padamu sementara. 1) Kasihku padamu abadi."
Kulkas rumahmu serba ada.,Kulkas rumahmu kosong.,0,Kulkas rumahmu seperti kantong Doraemon.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kulkas rumahmu seperti kantong Doraemon., Options: 0) Kulkas rumahmu serba ada. 1) Kulkas rumahmu kosong."
Kulkas rumahmu serba ada.,Kulkas rumahmu kosong.,1,Kulkas rumahmu seperti saldo tabunganku.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kulkas rumahmu seperti saldo tabunganku., Options: 0) Kulkas rumahmu serba ada. 1) Kulkas rumahmu kosong."
Masa depanmu cerah.,Masa depanmu gelap.,0,Masa depanmu layaknya kota Jakarta di malam hari.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Masa depanmu layaknya kota Jakarta di malam hari., Options: 0) Masa depanmu cerah. 1) Masa depanmu gelap."
Masa depanmu cerah.,Masa depanmu gelap.,1,Masa depanmu layaknya hutan Alas Purwo di malam hari.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Masa depanmu layaknya hutan Alas Purwo di malam hari., Options: 0) Masa depanmu cerah. 1) Masa depanmu gelap."
Pikirannya jernih.,Pikirannya keruh.,0,Pikirannya bak kaca rumah yang baru selesai dibersihkan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pikirannya bak kaca rumah yang baru selesai dibersihkan., Options: 0) Pikirannya jernih. 1) Pikirannya keruh."
Pikirannya jernih.,Pikirannya keruh.,1,Pikirannya bak air cucian ban di bengkel.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pikirannya bak air cucian ban di bengkel., Options: 0) Pikirannya jernih. 1) Pikirannya keruh."
Mengejar cita-cita sulit.,Mengejar cita-cita mudah.,0,Mengejar cita-cita ibarat mendaki gunung Everest.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mengejar cita-cita ibarat mendaki gunung Everest., Options: 0) Mengejar cita-cita sulit. 1) Mengejar cita-cita mudah."
Mengejar cita-cita sulit.,Mengejar cita-cita mudah.,1,Mengejar cita-cita ibarat membalikkan telapak tangan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mengejar cita-cita ibarat membalikkan telapak tangan., Options: 0) Mengejar cita-cita sulit. 1) Mengejar cita-cita mudah."
"Membeli mobil, namun tidak memakainya sia-sia.","Membeli mobil, namun tidak memakainya berguna.",0,"Membeli mobil, namun tidak memakainya bak menyapu pasir di pantai.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Membeli mobil, namun tidak memakainya bak menyapu pasir di pantai., Options: 0) Membeli mobil, namun tidak memakainya sia-sia. 1) Membeli mobil, namun tidak memakainya berguna."
"Membeli mobil, namun tidak memakainya sia-sia.","Membeli mobil, namun tidak memakainya berguna.",1,"Membeli mobil, namun tidak memakainya bak menampung air dalam ember.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Membeli mobil, namun tidak memakainya bak menampung air dalam ember., Options: 0) Membeli mobil, namun tidak memakainya sia-sia. 1) Membeli mobil, namun tidak memakainya berguna."
Tubuhku dulu tinggi dan kurus.,Tubuhku dulu pendek.,0,Tubuhku dulu sudah seperti tiang listrik.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tubuhku dulu sudah seperti tiang listrik., Options: 0) Tubuhku dulu tinggi dan kurus. 1) Tubuhku dulu pendek."
Tubuhku dulu tinggi dan kurus.,Tubuhku dulu pendek.,1,Tubuhku dulu sudah seperti ucok baba.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tubuhku dulu sudah seperti ucok baba., Options: 0) Tubuhku dulu tinggi dan kurus. 1) Tubuhku dulu pendek."
Belajar menyetir sulit.,Belajar menyetir mudah.,0,Belajar menyetir adalah perjalanan menuju puncak gunung.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Belajar menyetir adalah perjalanan menuju puncak gunung., Options: 0) Belajar menyetir sulit. 1) Belajar menyetir mudah."
Belajar menyetir sulit.,Belajar menyetir mudah.,1,Belajar menyetir adalah perjalanan santai di pinggir pantai.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Belajar menyetir adalah perjalanan santai di pinggir pantai., Options: 0) Belajar menyetir sulit. 1) Belajar menyetir mudah."
Perjuangan masuk ITB sulit.,Perjuangan masuk ITB mudah.,0,Perjuangan masuk ITB adalah usaha mencium siku sendiri.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Perjuangan masuk ITB adalah usaha mencium siku sendiri., Options: 0) Perjuangan masuk ITB sulit. 1) Perjuangan masuk ITB mudah."
Perjuangan masuk ITB sulit.,Perjuangan masuk ITB mudah.,1,Perjuangan masuk ITB adalah usaha orang kidal menulis menggunakan tangan kiri.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Perjuangan masuk ITB adalah usaha orang kidal menulis menggunakan tangan kiri., Options: 0) Perjuangan masuk ITB sulit. 1) Perjuangan masuk ITB mudah."
Menikah dengannya mustahil.,Menikah dengannya mungkin.,0,Menikah dengannya itu bagai melihat Yesus ibadah haji.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Menikah dengannya itu bagai melihat Yesus ibadah haji., Options: 0) Menikah dengannya mustahil. 1) Menikah dengannya mungkin."
Menikah dengannya mustahil.,Menikah dengannya mungkin.,1,Menikah dengannya itu bagai melihat Rihanna konser di Indonesia.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Menikah dengannya itu bagai melihat Rihanna konser di Indonesia., Options: 0) Menikah dengannya mustahil. 1) Menikah dengannya mungkin."
Kelas ini kotor dan berisik.,Kelas ini bersih.,0,Kelas ini nampak seperti pasar ikan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kelas ini nampak seperti pasar ikan., Options: 0) Kelas ini kotor dan berisik. 1) Kelas ini bersih."
Kelas ini kotor dan berisik.,Kelas ini bersih.,1,Kelas ini nampak seperti toilet mal mewah.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kelas ini nampak seperti toilet mal mewah., Options: 0) Kelas ini kotor dan berisik. 1) Kelas ini bersih."
Kulit wajahnya halus.,Kulit wajahnya kasar.,0,Kulit wajahnya bagai tembok bangunan hasil dempul.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kulit wajahnya bagai tembok bangunan hasil dempul., Options: 0) Kulit wajahnya halus. 1) Kulit wajahnya kasar."
Kulit wajahnya halus.,Kulit wajahnya kasar.,1,Kulit wajahnya bagai jalan raya belum diaspal.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kulit wajahnya bagai jalan raya belum diaspal., Options: 0) Kulit wajahnya halus. 1) Kulit wajahnya kasar."
Sudah seminggu ini kampung halamanku ramai.,Sudah seminggu ini kampung halamanku sepi.,0,Sudah seminggu ini kampung halamanku bagai Puncak di akhir pekan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sudah seminggu ini kampung halamanku bagai Puncak di akhir pekan., Options: 0) Sudah seminggu ini kampung halamanku ramai. 1) Sudah seminggu ini kampung halamanku sepi."
Sudah seminggu ini kampung halamanku ramai.,Sudah seminggu ini kampung halamanku sepi.,1,Sudah seminggu ini kampung halamanku bagai sekolah di tengah malam.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sudah seminggu ini kampung halamanku bagai sekolah di tengah malam., Options: 0) Sudah seminggu ini kampung halamanku ramai. 1) Sudah seminggu ini kampung halamanku sepi."
Menyetrika baju melelahkan.,Menyetrika baju menyenangkan.,0,Menyetrika baju adalah perjalanan panjang di padang pasir.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Menyetrika baju adalah perjalanan panjang di padang pasir., Options: 0) Menyetrika baju melelahkan. 1) Menyetrika baju menyenangkan."
Menyetrika baju melelahkan.,Menyetrika baju menyenangkan.,1,Menyetrika baju adalah jalan-jalan di mal mewah.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Menyetrika baju adalah jalan-jalan di mal mewah., Options: 0) Menyetrika baju melelahkan. 1) Menyetrika baju menyenangkan."
Menunggu season 2 seri ini lama sekali.,Menunggu season 2 seri ini cepat.,0,Menunggu season 2 seri ini bagai berjalan kaki dari Jakarta ke Palembang.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Menunggu season 2 seri ini bagai berjalan kaki dari Jakarta ke Palembang., Options: 0) Menunggu season 2 seri ini lama sekali. 1) Menunggu season 2 seri ini cepat."
Menunggu season 2 seri ini lama sekali.,Menunggu season 2 seri ini cepat.,1,Menunggu season 2 seri ini bagai kedipan mata.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Menunggu season 2 seri ini bagai kedipan mata., Options: 0) Menunggu season 2 seri ini lama sekali. 1) Menunggu season 2 seri ini cepat."
Kedatangannya berkah.,Kedatangannya musibah.,0,Kedatangannya adalah hujan di tengah gurun.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kedatangannya adalah hujan di tengah gurun., Options: 0) Kedatangannya berkah. 1) Kedatangannya musibah."
Kedatangannya berkah.,Kedatangannya musibah.,1,Kedatangannya adalah banjir di siang bolong.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kedatangannya adalah banjir di siang bolong., Options: 0) Kedatangannya berkah. 1) Kedatangannya musibah."
Belajar bahasa Mandarin sulit.,Belajar bahasa Mandarin mudah.,0,Belajar bahasa Mandarin seperti berenang di saat kaki keram.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Belajar bahasa Mandarin seperti berenang di saat kaki keram., Options: 0) Belajar bahasa Mandarin sulit. 1) Belajar bahasa Mandarin mudah."
Belajar bahasa Mandarin sulit.,Belajar bahasa Mandarin mudah.,1,Belajar bahasa Mandarin seperti berenang menggunakan pelampung.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Belajar bahasa Mandarin seperti berenang menggunakan pelampung., Options: 0) Belajar bahasa Mandarin sulit. 1) Belajar bahasa Mandarin mudah."
Cerita film ini kompleks.,Cerita film ini sederhana.,0,Cerita film ini sudah seperti kisah janda buta yang dituduh mencuri sapi padahal ia adalah ibu dari kepala desa setempat.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Cerita film ini sudah seperti kisah janda buta yang dituduh mencuri sapi padahal ia adalah ibu dari kepala desa setempat., Options: 0) Cerita film ini kompleks. 1) Cerita film ini sederhana."
Cerita film ini kompleks.,Cerita film ini sederhana.,1,Cerita film ini sudah seperti satu ditambah satu sama dengan dua.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Cerita film ini sudah seperti satu ditambah satu sama dengan dua., Options: 0) Cerita film ini kompleks. 1) Cerita film ini sederhana."
Perbuatanmu berdosa.,Perbuatanmu tidak ada yang salah.,0,Perbuatanmu itu sudah seperti seorang muslim yang menato tubuhnya.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Perbuatanmu itu sudah seperti seorang muslim yang menato tubuhnya., Options: 0) Perbuatanmu berdosa. 1) Perbuatanmu tidak ada yang salah."
